comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,endowment_ci_lower,endowment_ci_upper,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Hispanic_vs_White,depression,Depression,emotionspt,Lack of social support,hrsn,-3.2075,-3.3562,-3.4824,-3.2122,104.63,22.1557,31.7518,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,pct_poverty,pct_poverty,demographic,-3.2075,-0.1786,-0.2212,-0.1399,5.57,10.689,19.1501,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,pct_college,pct_college,demographic,-3.2075,1.401,1.3603,1.4406,-43.68,36.3351,16.2687,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,pct_65plus,pct_65plus,demographic,-3.2075,0.4776,0.4326,0.5171,-14.89,19.0889,11.2889,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,median_age,median_age,demographic,-3.2075,0.3054,0.2556,0.3587,-9.52,41.9359,33.7491,38240,5201,102.93,ecological
Hispanic_vs_White,casthma,Asthma,loneliness,Loneliness/Social isolation,hrsn,-0.6035,0.3234,0.2961,0.3511,-53.59,32.3089,39.5593,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,foodstamp,Food stamps/SNAP,hrsn,-0.6035,2.2228,2.1605,2.2887,-368.33,10.5907,27.3053,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,foodinsecu,Food insecurity,hrsn,-0.6035,-4.3368,-4.5113,-4.1779,718.62,12.9185,31.9295,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,housinsecu,Housing insecurity,hrsn,-0.6035,-2.0726,-2.2211,-1.9308,343.44,10.4715,25.3416,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,shututility,Utility shutoff threat,hrsn,-0.6035,2.0991,2.0295,2.1709,-347.82,6.995,13.3884,38240,5201,47.17,ecological
