hrsn_measure,hrsn_label,outcome,outcome_label,moderator,moderator_label,main_beta,main_p,interaction_beta,interaction_se,interaction_p,interaction_significant,r_squared,n_obs,interaction_p_fdr
lacktrpt,Transportation barriers,depression,Depression,urban,Urban,0.216,1.6865982333209177e-09,0.033,0.0209,0.11447020459904891,False,0.4143,60156,0.17170530689857338
lacktrpt,Transportation barriers,casthma,Asthma,medicaid_expanded,Medicaid Expansion,0.4062,5.816777337050156e-16,0.1581,0.0375,2.4439394638864082e-05,True,0.6208,60156,9.211771825418e-05
lacktrpt,Transportation barriers,casthma,Asthma,hrsn_waiver,HRSN Waiver,0.5812,6.566975296573187e-48,-0.0051,0.0372,0.8913433502377137,False,0.5922,60156,0.9099130033676661
lacktrpt,Transportation barriers,casthma,Asthma,urban,Urban,0.5918,8.835752801746706e-52,-0.0176,0.0149,0.23845178647061893,False,0.5916,60156,0.3157875010016305
lacktrpt,Transportation barriers,obesity,Obesity,medicaid_expanded,Medicaid Expansion,0.2551,6.798814261035436e-16,0.0125,0.0267,0.6401256150522532,False,0.6835,60156,0.6997885376837342
lacktrpt,Transportation barriers,obesity,Obesity,hrsn_waiver,HRSN Waiver,0.221,9.95939883042128e-14,0.1274,0.0319,6.49485108148078e-05,True,0.6992,60156,0.0002169870702221988
lacktrpt,Transportation barriers,obesity,Obesity,urban,Urban,0.2699,6.684486048591945e-27,-0.0527,0.0197,0.0076075267993633245,True,0.6784,60156,0.014714558414558009
lacktrpt,Transportation barriers,chd,Coronary heart disease,medicaid_expanded,Medicaid Expansion,0.4078,1.3940456170304787e-85,-0.0419,0.0205,0.04115142515743561,False,0.7659,60156,0.06605076256766063
lacktrpt,Transportation barriers,chd,Coronary heart disease,hrsn_waiver,HRSN Waiver,0.3619,6.305634604712558e-122,0.0083,0.0192,0.6657311491585973,False,0.7645,60156,0.7124784812684244
lacktrpt,Transportation barriers,chd,Coronary heart disease,urban,Urban,0.4057,3.3287020935296805e-153,-0.0762,0.0137,2.4380624199511157e-08,True,0.7658,60156,1.9910843096267445e-07
lacktrpt,Transportation barriers,copd,COPD,medicaid_expanded,Medicaid Expansion,0.5826,3.4261540018336894e-153,-0.0329,0.0231,0.1549344720662897,False,0.8077,60156,0.22112007178392803
lacktrpt,Transportation barriers,copd,COPD,hrsn_waiver,HRSN Waiver,0.5686,8.532138139121366e-189,-0.0551,0.0218,0.011371279368979933,True,0.8085,60156,0.020385098380976224
lacktrpt,Transportation barriers,copd,COPD,urban,Urban,0.598,6.2319050821874365e-239,-0.0839,0.0123,1.0484769212216161e-11,True,0.8089,60156,1.712512304661973e-10
lacktrpt,Transportation barriers,stroke,Stroke,medicaid_expanded,Medicaid Expansion,0.6199,1.1264317289461088e-168,-0.0822,0.0222,0.00021406191984006955,True,0.8216,60156,0.0006840674394889178
lacktrpt,Transportation barriers,stroke,Stroke,hrsn_waiver,HRSN Waiver,0.5504,3.6441911962983276e-253,-0.0261,0.0183,0.15476202604253794,False,0.8201,60156,0.22112007178392803
lacktrpt,Transportation barriers,stroke,Stroke,urban,Urban,0.6144,1.602575241466974e-289,-0.1227,0.0125,9.204044337831777e-23,True,0.8229,60156,1.3529945176612713e-20
emotionspt,Lack of social support,diabetes,Diabetes,medicaid_expanded,Medicaid Expansion,0.1845,9.028872808092655e-08,-0.1071,0.0304,0.00042102688791994326,True,0.7528,60156,0.0012893948442548263
emotionspt,Lack of social support,diabetes,Diabetes,hrsn_waiver,HRSN Waiver,0.0635,0.028875831707412366,0.0785,0.0217,0.0002981539393212797,True,0.7517,60156,0.000932524022983577
emotionspt,Lack of social support,diabetes,Diabetes,urban,Urban,0.1579,3.1091033877464026e-10,-0.1159,0.0176,4.003090002682079e-11,True,0.7519,60156,5.349583912675141e-10
emotionspt,Lack of social support,depression,Depression,medicaid_expanded,Medicaid Expansion,-0.5827,4.2333521061774716e-17,0.1054,0.0475,0.026505209087606365,True,0.4775,60156,0.04478466363078317
emotionspt,Lack of social support,depression,Depression,hrsn_waiver,HRSN Waiver,-0.5418,3.5232501040088033e-13,0.0367,0.0498,0.46084611572134937,False,0.5039,60156,0.5463256371857932
emotionspt,Lack of social support,depression,Depression,urban,Urban,-0.4387,1.4738518872436647e-07,-0.0067,0.021,0.7494534937137143,False,0.4669,60156,0.7758427012388451
emotionspt,Lack of social support,casthma,Asthma,medicaid_expanded,Medicaid Expansion,-0.477,1.0189709255931545e-13,0.1766,0.0436,5.0721749300546426e-05,True,0.6133,60156,0.00017339760807396105
emotionspt,Lack of social support,casthma,Asthma,hrsn_waiver,HRSN Waiver,-0.1986,0.0007085731149070983,-0.1793,0.0535,0.0008138366746171654,True,0.5713,60156,0.0020988419503284793
emotionspt,Lack of social support,casthma,Asthma,urban,Urban,-0.1491,0.02129588936898904,-0.0903,0.0204,9.825734902989082e-06,True,0.5638,60156,4.0121750853872084e-05
emotionspt,Lack of social support,obesity,Obesity,medicaid_expanded,Medicaid Expansion,-0.4145,5.395210730392235e-22,-0.0726,0.0349,0.037721445164914595,False,0.7405,60156,0.06230395999148815
emotionspt,Lack of social support,obesity,Obesity,hrsn_waiver,HRSN Waiver,-0.4597,1.9192079136948428e-11,0.0481,0.0503,0.3390445868302455,False,0.7455,60156,0.42236910393259397
emotionspt,Lack of social support,obesity,Obesity,urban,Urban,-0.4205,1.949486970312716e-12,-0.0775,0.0157,8.070636117315994e-07,True,0.7418,60156,4.394012997205374e-06
