tract_fips,state_abbr,county_name,total_population,predicted_gain,loneliness,foodstamp,foodinsecu,housinsecu,shututility,lacktrpt,emotionspt,rank
26021002200,MI,Berrien,2853.0,6533.555080600163,42.4,75.4,65.8,47.6,44.5,37.1,35.5,238
06029002002,CA,Kern,4599.0,6524.522678658024,40.0,57.3,51.8,37.7,25.3,27.2,33.3,239
06029006303,CA,Kern,5184.0,6517.487899670234,42.0,51.2,52.0,39.4,22.1,25.7,35.1,240
06075023103,CA,San Francisco,4456.0,6516.906415518924,47.9,61.7,54.7,40.2,28.9,28.9,39.5,241
10005050503,DE,Sussex,6104.0,6515.139754529808,37.7,41.6,44.8,31.1,20.5,21.3,27.9,242
37081011000,NC,Guilford,5403.0,6511.671280054989,49.1,45.5,47.6,32.9,24.6,30.0,33.4,243
25013800700,MA,Hampden,4057.0,6508.559835318386,42.7,65.1,57.3,42.6,29.1,28.7,37.1,244
05123960600,AR,St. Francis,6401.0,6503.395893271146,36.9,34.7,41.7,31.1,26.7,20.4,36.8,245
06019006602,CA,Fresno,5641.0,6496.520668739612,40.1,48.5,48.7,34.8,20.5,23.5,31.9,246
29189210600,MO,St. Louis,6588.0,6492.445327597502,37.8,35.6,34.7,29.0,25.0,19.0,27.9,247
17031231500,IL,Cook,5809.0,6484.688713124004,40.8,47.4,45.7,35.4,24.2,21.5,36.3,248
06019001000,CA,Fresno,4755.0,6481.877444223174,42.9,57.1,54.1,37.9,24.7,27.2,36.3,249
36005021100,NY,Bronx,6268.0,6479.7857505674365,43.0,42.5,47.4,38.7,21.6,21.1,36.9,250
39049004900,OH,Franklin,5296.0,6464.9141872139035,42.6,48.5,45.1,29.8,26.3,23.1,28.1,251
25027731203,MA,Worcester,5764.0,6460.698926215616,40.7,52.0,42.6,28.2,22.1,23.3,29.8,252
22019000602,LA,Calcasieu,3868.0,6457.2510360962315,41.4,60.0,55.6,38.9,35.4,28.7,37.0,253
06047001601,CA,Merced,5124.0,6454.875668093385,43.8,51.5,52.1,39.6,22.9,25.8,35.6,254
36005014100,NY,Bronx,7133.0,6441.938335086156,42.5,38.4,42.2,36.3,20.8,19.1,36.2,255
17031843500,IL,Cook,9398.0,6440.683835783489,44.4,34.4,40.5,32.6,18.4,19.5,42.9,256
01101005613,AL,Montgomery,5102.0,6440.334120144407,40.6,44.9,48.0,35.0,27.2,23.7,32.3,257
32003004703,NV,Clark,6391.0,6438.780247634504,43.2,40.7,42.1,34.3,22.9,22.2,34.9,258
36005039100,NY,Bronx,7187.0,6436.093962350954,42.3,37.7,44.3,36.3,19.2,19.5,35.5,259
22033001104,LA,East Baton Rouge,3125.0,6433.616127110139,43.3,68.8,64.3,46.9,41.4,34.3,39.1,260
36005040100,NY,Bronx,4759.0,6428.890204557104,42.1,50.9,54.3,42.7,25.4,24.7,35.7,261
22033003300,LA,East Baton Rouge,5384.0,6424.283204055905,42.6,47.2,46.6,33.4,27.6,24.3,37.6,262
26139024502,MI,Ottawa,5887.0,6419.273717524081,46.3,47.2,43.0,23.5,20.4,28.2,25.5,263
06029006406,CA,Kern,4063.0,6414.249242858517,42.0,60.6,59.6,43.9,26.1,30.2,36.0,264
36005014900,NY,Bronx,4917.0,6413.772538527448,42.3,50.1,52.1,41.4,25.7,24.2,36.4,265
01011952202,AL,Bullock,4133.0,6407.085049668151,40.0,55.1,54.8,37.7,31.9,28.0,36.1,266
13277960602,GA,Tift,4442.0,6403.132059247154,42.0,54.0,51.6,37.4,29.3,26.3,33.6,267
04001944100,AZ,Apache,6100.0,6401.208483861677,37.8,38.3,43.6,29.5,24.0,25.9,38.3,268
36047110600,NY,Kings,4950.0,6389.4186189411475,41.7,51.4,50.6,39.1,27.1,23.6,37.8,269
13139001101,GA,Hall,5551.0,6382.1222918008525,44.2,40.4,51.0,38.1,21.9,24.2,31.6,270
29095013203,MO,Jackson,4545.0,6378.755211424198,39.0,44.6,44.7,36.7,31.3,24.9,29.8,271
39061010002,OH,Hamilton,6485.0,6373.0128278750035,40.4,39.3,38.6,30.1,24.1,19.5,31.0,272
05123960400,AR,St. Francis,4230.0,6365.748811527455,41.8,49.6,53.8,39.1,33.8,27.4,38.3,273
17031431301,IL,Cook,3555.0,6348.2493376221755,42.6,65.7,57.8,44.5,35.6,29.8,37.6,274
06065045619,CA,Riverside,3964.0,6342.228614138399,44.5,59.5,61.3,46.7,26.6,30.7,36.6,275
06053000501,CA,Monterey,5231.0,6336.369454733978,42.6,49.2,52.4,39.8,20.9,25.6,35.5,276
01073005905,AL,Jefferson,6916.0,6331.913196241377,43.0,36.3,40.8,29.0,22.5,19.8,30.9,277
04013093001,AZ,Maricopa,6109.0,6330.150619805966,37.3,42.1,45.0,29.9,20.1,22.7,31.6,278
36059407000,NY,Nassau,9657.0,6329.8447622554895,37.9,30.9,34.7,28.7,17.0,16.5,34.3,279
45041000900,SC,Florence,3813.0,6326.518774455356,39.7,54.9,56.7,40.1,34.2,27.7,33.9,280
17031660800,IL,Cook,5832.0,6322.572333655058,40.1,44.8,46.1,35.5,22.6,21.1,34.7,281
04019940800,AZ,Pima,4494.0,6320.981588567213,39.9,49.0,51.0,33.1,28.8,31.2,37.2,282
36005004300,NY,Bronx,5627.0,6316.469770229141,41.4,44.4,48.4,38.7,22.5,21.7,34.9,283
06067007423,CA,Sacramento,6770.0,6316.203939842752,43.8,46.4,38.8,30.1,20.3,21.5,33.1,284
29189211900,MO,St. Louis,4001.0,6315.357105590147,42.7,52.1,48.9,40.3,35.0,27.1,32.5,285
