outcome,model,fold,cv_strategy,n_train,n_test,rmse,mae,r2_oos,r2_insample
copd,SVI + Covariates,10,State-Blocked (LOSO),59676,452,0.4098062057846618,0.3099148214166372,0.6164891500873382,0.7885542663516096
copd,SVI + Covariates,11,State-Blocked (LOSO),56872,3256,0.4050005820843839,0.2949622506252387,0.8042742243739269,0.7870697635311881
copd,SVI + Covariates,12,State-Blocked (LOSO),58447,1681,0.5437576088744007,0.38653810208271644,0.6628767031894764,0.788502093691223
copd,SVI + Covariates,13,State-Blocked (LOSO),59236,892,0.36296345663104085,0.27154747688315345,0.7005942120442921,0.7884777718869384
copd,SVI + Covariates,14,State-Blocked (LOSO),59313,815,0.3934703266953841,0.28633516792101577,0.7320539711590452,0.7884101174344542
copd,SVI + Covariates,15,State-Blocked (LOSO),58766,1362,0.6030026458895255,0.4415733817667836,0.7285367124272089,0.786719233135492
copd,SVI + Covariates,16,State-Blocked (LOSO),59728,400,0.432550541345024,0.3135121092858779,0.7368426946765276,0.7875903223163265
copd,SVI + Covariates,17,State-Blocked (LOSO),58673,1455,0.38093424797966097,0.2849624058486332,0.8000095798498587,0.7873437036738384
copd,SVI + Covariates,18,State-Blocked (LOSO),58541,1587,0.3726401728681424,0.2709757283723957,0.759609295190272,0.7877938135339295
copd,SVI + Covariates,19,State-Blocked (LOSO),57247,2881,0.5345959952009235,0.3743390401818528,0.7322903675023544,0.7866752245052597
copd,SVI + Covariates,20,State-Blocked (LOSO),58631,1497,0.5350542064227538,0.4522991134969387,0.22107179399496568,0.7917523783510402
copd,SVI + Covariates,21,State-Blocked (LOSO),59259,869,0.5696619945754106,0.4249746728108717,0.6902515565156564,0.7874485425679435
copd,SVI + Covariates,22,State-Blocked (LOSO),58482,1646,0.523488583862771,0.37316240995562566,0.7459141447812064,0.7870754139426863
copd,SVI + Covariates,23,State-Blocked (LOSO),59813,315,0.38938240331285445,0.2887313232433973,0.7392205690333613,0.7880774344798251
copd,SVI + Covariates,24,State-Blocked (LOSO),59581,547,0.3938030108133358,0.3091118242298342,0.641721620488446,0.7885030980483659
copd,SVI + Covariates,25,State-Blocked (LOSO),59360,768,0.4505722774237283,0.3224303351090157,0.6900506469859949,0.7887440167756276
copd,SVI + Covariates,26,State-Blocked (LOSO),59781,347,0.32576838676963993,0.25843499765755606,0.6715408006422354,0.788172066212167
copd,SVI + Covariates,27,State-Blocked (LOSO),57968,2160,0.4187535441230992,0.3266416484494003,0.5608615180213878,0.7882432870562449
